"Downloaded on",03/19/2021,"13:51:33 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%5D%2C%22bill-status%22%3A%22law%22%7D&searchResultViewType=expanded

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 209",https://www.congress.gov/bill/116th-congress/senate-bill/209,"116th Congress (2019-2020)",,"PROGRESS for Indian Tribes Act","Sen. Hoeven, John [R-ND]",01/24/2019,,,,5,"House - Natural Resources | Senate - Indian Affairs",10/21/2020,"Became Public Law No: 116-180."
"S. 199",https://www.congress.gov/bill/116th-congress/senate-bill/199,"116th Congress (2019-2020)",,"Leech Lake Band of Ojibwe Reservation Restoration Act","Sen. Smith, Tina  [D-MN]",01/24/2019,,,,1,"House - Natural Resources | Senate - Indian Affairs",12/23/2020,"Became Public Law No: 116-255."
"S. 163",https://www.congress.gov/bill/116th-congress/senate-bill/163,"116th Congress (2019-2020)",,"Alaska Remote Generator Reliability and Protection Act","Sen. Sullivan, Dan  [R-AK]",01/16/2019,,,,1,"House - Energy and Commerce | Senate - Environment and Public Works",10/04/2019,"Became Public Law No: 116-62."
"S. 153",https://www.congress.gov/bill/116th-congress/senate-bill/153,"116th Congress (2019-2020)",,"Supporting Veterans in STEM Careers Act","Sen. Rubio, Marco [R-FL]",01/16/2019,,,,12,"House - Science, Space, and Technology, Veterans' Affairs | Senate - Commerce, Science, and Transportation",02/11/2020,"Became Public Law No: 116-115."
"S. 151",https://www.congress.gov/bill/116th-congress/senate-bill/151,"116th Congress (2019-2020)",,"Pallone-Thune TRACED Act","Sen. Thune, John [R-SD]",01/16/2019,,,,84,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",12/30/2019,"Became Public Law No: 116-105."
"S. 134",https://www.congress.gov/bill/116th-congress/senate-bill/134,"116th Congress (2019-2020)",,"Combat Online Predators Act","Sen. Toomey, Pat [R-PA]",01/15/2019,,,,1,"House - Judiciary | Senate - Judiciary",12/22/2020,"Became Public Law No: 116-249."
"S. 50",https://www.congress.gov/bill/116th-congress/senate-bill/50,"116th Congress (2019-2020)",,"Columbia River In-Lieu and Treaty Fishing Access Sites Improvement Act","Sen. Merkley, Jeff [D-OR]",01/08/2019,,,,3,"Senate - Indian Affairs",12/20/2019,"Became Public Law No: 116-99."
"S. 49",https://www.congress.gov/bill/116th-congress/senate-bill/49,"116th Congress (2019-2020)",,"A bill to designate the outstation of the Department of Veterans Affairs in North Ogden, Utah, as the Major Brent Taylor Vet Center Outstation.","Sen. Lee, Mike [R-UT]",01/08/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",03/21/2019,"Became Public Law No: 116-10."
"S. 47",https://www.congress.gov/bill/116th-congress/senate-bill/47,"116th Congress (2019-2020)",,"John D. Dingell, Jr. Conservation, Management, and Recreation Act","Sen. Murkowski, Lisa [R-AK]",01/08/2019,,,,15,,03/12/2019,"Became Public Law No: 116-9."
"S. 24",https://www.congress.gov/bill/116th-congress/senate-bill/24,"116th Congress (2019-2020)",,"Government Employee Fair Treatment Act of 2019","Sen. Cardin, Benjamin L. [D-MD]",01/03/2019,,,,44,,01/16/2019,"Became Public Law No: 116-1."
"S.J.Res. 67",https://www.congress.gov/bill/116th-congress/senate-joint-resolution/67,"116th Congress (2019-2020)",,"A joint resolution providing for the reappointment of Risa Lavizzo-Mourey as a citizen regent of the Board of Regents of the Smithsonian Institution.","Sen. Perdue, David [R-GA]",01/09/2020,,,,2,"House - House Administration",03/02/2020,"Became Public Law No: 116-119."
"S.J.Res. 66",https://www.congress.gov/bill/116th-congress/senate-joint-resolution/66,"116th Congress (2019-2020)",,"A joint resolution providing for the appointment of Denise O'Leary as a citizen regent of the Board of Regents of the Smithsonian Institution.","Sen. Boozman, John [R-AR]",01/09/2020,,,,2,"House - House Administration",04/10/2020,"Became Public Law No: 116-138."
"S.J.Res. 65",https://www.congress.gov/bill/116th-congress/senate-joint-resolution/65,"116th Congress (2019-2020)",,"A joint resolution providing for the reappointment of John Fahey as a citizen regent of the Board of Regents of the Smithsonian Institution.","Sen. Boozman, John [R-AR]",01/09/2020,,,,2,"House - House Administration",03/02/2020,"Became Public Law No: 116-118."
